BEIJING_HR	    北京3公里区域模式
CPD		    白天云微物理和光学性质
CPDCER		    白天云微物理和光学性质CER
CPDCOT		    白天云微物理和光学性质COT
CPDIWP		    白天云微物理和光学性质IWP
CPDLWP		    白天云微物理和光学性质LWP
CPN		    夜间云微物理和光学性质
CPNCER		    夜间云微物理和光学性质CER
CPNCOT		    夜间云微物理和光学性质COT
CPNIWP		    夜间云微物理和光学性质IWP
CPNLWP		    夜间云微物理和光学性质LWP
CPRAT		    对流性降水率
CR		    组合反射率
CREF		    全国雷达组合反射率拼图
CTA		    云总量
CTH		    云顶高度
CTP		    云顶气压
CTT		    云顶温度
CWAT                云液态水含量
DCAPE		    下沉对流有效位能
DEPR                温度露点差
DH		    变高
DIFSSI		    地面辐散太阳辐照度
DIRECTION_OF_COMBINED_WIND_WAVES_AND_SWELL      风浪和涌浪叠加的方向
DIRECTION_OF_SWELL_WAVES	涌浪方向
DIRECTION_OF_WIND_WAVES		风浪方向
DIRSSI		    地面直射太阳辐照度
DIV                 散度
DLR		    地表下行长波辐射
DOWNWARD_LONG-WAVE_RAD._FLUX  向下长波辐射通量
DOWNWARD_SHORT-WAVE_RADIATION_FLUX  向下短波辐射通量
DPT                 露点温度
DPT_2M		    2米露点温度
DPT_2M_UNCLIPPED 2米露点温度(未裁剪)
DPT_ALL_STATION	    国家站区域站1小时露点温度
DPT_NATIONAL	    国家站1小时露点温度
DSD		    沙尘
DT		    变温
ECHO_TOP	    雷达回波顶高度
ECR		    强对流落区
ENTIRE_ATMOSPHERE   全部大气层
EQUAL		    等经纬投影
EVAPORATION	    蒸发
EXTRAPOLATION	    雷达外推产品
FHS		    热源点检测
FIELD_CAPACITY      田间持水量
FLERTAL		    众数
FOG		    雾
FORECAST_ALBEDO     预报反照率
FOREST_FIRE_RATING_FORECAST  森林火险气象等级24小时时效预报
FRACTION_OF_CLOUD_COVER  云层分数
FREEZING_RAIN03     3小时冻雨
FREEZING_RAIN06     6小时冻雨
FREEZING_RAIN12     12小时冻雨
FREEZING_RAIN24     24小时冻雨
FZRA		    累计冻雨
GEOPOTENTIAL        位势高度
GPSMET		    GPS水汽
GRAUPEL		    霰
GRID_PROBABILITY    面上概率预报
GROUND_HEAT_FLUX    地表感热通量
HAINES_INDEX	    HAINES指数
HAIL		    冰雹
HAZE		    霾
HCDC                高云量
HEAT_FLUX           感热通量
HEAVY_RAINFALL	    短时强降水
HGT                 高度
HGT_5WAVE	    浪高
HI		    冰雹指数
HIGH_CLOUD	    高云
HIGH_CLOUD_BOTTOM   高云底
HIGH_CLOUD_TOP	    高云顶
HIGHEST_TROPOSPHERIC_FREEZING    对流层冻结最高处
HMW8		    葵花8卫星
HORIZONTAL_STRESS   东西向应力
HPBL		    行星边界层高度
HPF		    云区相对湿度
ICAO_STANDARD_ATMOSPHERE_REFERENCE_HEIGHT  国际民航组织标准大气参考高度
ICE_COVER	    冰覆盖
ICE_THICKNESS	    覆冰厚度
ICING_SEVERITY	    冰情
ICE_WATER_MIXING_RATIO  冰水混合比
INFRARED_BRIGHTNESS_TEMPERATURE  红外通道模拟卫星
IR1		    红外1通道
IR2		    红外2通道
IR3		    红外3通道
IR4		    红外4通道
K_INDEX		    K指数
LAMBERT		    兰伯特投影
LAND_COVER	    地表覆盖
LATENT_HEAT_NET_FLUX  地表潜热通量
LATITUDE_-90-90	    纬线-90度至90度
LCDC                低云量
LCDC_UNCLIPPED 低云量(未裁剪)
LCL                 抬升凝结高度
LDA		    陆地气溶胶
LDAAOD_0	    陆地气溶胶_0
LDAAOD_1	    陆地气溶胶_1
LDAAOD_2	    陆地气溶胶_2
LDAASI		    陆地气溶胶ASI
LDACMR		    陆地气溶胶CMR
LDAFMR		    陆地气溶胶FMR
LI		    抬升指数
LIGHTNING_10MIN	    10分钟闪电定位数据
LIGHTNING_1H	    1小时闪电定位数据
LIJ		    闪电频数跃变指数
LIOE		    闪电仪1分钟事件产品
LIOF		    闪电仪1分钟闪电产品
LIOG		    闪电仪1分钟组产品
LIQUID_VOLUMETRIC_SOIL_MOISTURE_(NON_FROZEN)  土壤液态水含量(非冻雨)
LMIE		    闪电事件
LONGITUDE_0-360	    经线0-360度
LOW_CLOUD	    低云
LOW_CLOUD_BOTTOM    低云底
LOW_CLOUD_TOP	    低云顶
LPWHIGH		    高层大气水汽总量及分层水汽含量
LPWLOW		    低层大气水汽总量及分层水汽含量
LPWMID		    中层大气水汽总量及分层水汽含量
